name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Girls Who Code Clubs,"After-school and summer clubs for girls to learn computer science fundamentals, build coding projects, and develop computational thinking skills in a supportive community environment.",https://girlswhocode.com/programs/clubs,Girls Who Code,Coding Program,"Computer Science, Programming",6-12,Free,Regional,Weekly meetings (school year),None,High,Rolling enrollment,None,FALSE,Any,None,Free,TRUE,TRUE,TRUE,High,FALSE,TRUE,Basic,Select-regions,Optional,TRUE,Professional
Summer Immersion Program,"Intensive 7-week summer program for high school girls to learn programming, explore tech careers, and work on real-world projects with industry mentors and role models.",https://girlswhocode.com/programs/summer-immersion-program,Girls Who Code,Tech Program,"Computer Science, Programming",9-12,Free,In-person,7 weeks (summer),None,High,March applications,None,FALSE,Any,Travel,Free,TRUE,TRUE,TRUE,High,FALSE,TRUE,Basic,Select-regions,Optional,TRUE,Professional
College Loops Program,"Ongoing support network for Girls Who Code alumni transitioning to college, including mentorship, career guidance, and community connections throughout university years.",https://girlswhocode.com/programs/college-loops,Girls Who Code,Tech Program,"Computer Science, Programming",12,Free,Virtual,Ongoing support,None,High,GWC alumni enrollment,None,FALSE,Any,None,Free,TRUE,TRUE,TRUE,High,TRUE,FALSE,High-speed-required,National,Optional,TRUE,Professional
Girls Who Code Self-Paced Program,"Free online coding curriculum and resources for girls to learn programming independently with interactive lessons, projects, and community support through digital platforms.",https://girlswhocode.com/programs/self-paced,Girls Who Code,Coding Program,"Computer Science, Programming",6-12,Free,Virtual,Self-paced learning,None,Medium,Open enrollment,None,FALSE,Any,None,Free,TRUE,TRUE,TRUE,High,TRUE,FALSE,High-speed-required,National,Optional,TRUE,Professional
Girls Who Code Campus Programs,University-based programs and partnerships that bring coding education and career preparation directly to college campuses with local tech industry connections.,https://girlswhocode.com/programs/campus,Girls Who Code,Tech Program,"Computer Science, Programming",12,Free,In-person,Semester programs,None,High,Semester enrollment,None,FALSE,Any,Travel,Free,TRUE,TRUE,TRUE,High,FALSE,TRUE,Basic,Select-regions,Optional,TRUE,Professional
Girls Who Code Middle School Clubs,"Age-appropriate coding clubs specifically designed for middle school girls focusing on creativity, problem-solving, and building confidence in technology through fun projects.",https://girlswhocode.com/programs/clubs/middle-school,Girls Who Code,Coding Program,"Computer Science, Programming",6-8,Free,Regional,Weekly meetings (school year),None,High,Fall enrollment,None,FALSE,Any,None,Free,TRUE,TRUE,TRUE,High,FALSE,TRUE,Basic,Select-regions,Optional,TRUE,Professional
Girls Who Code High School Clubs,"Advanced coding clubs for high school girls focusing on real-world applications, college preparation, and career exploration in computer science and technology fields.",https://girlswhocode.com/programs/clubs/high-school,Girls Who Code,Coding Program,"Computer Science, Programming",9-12,Free,Regional,Weekly meetings (school year),None,High,Fall enrollment,None,FALSE,Any,None,Free,TRUE,TRUE,TRUE,High,FALSE,TRUE,Basic,Select-regions,Optional,TRUE,Professional
HerStory Programming Curriculum,Culturally responsive computer science curriculum that highlights contributions of women and underrepresented groups in technology while teaching core programming concepts.,https://girlswhocode.com/herstory,Girls Who Code,Coding Program,"Computer Science, Programming",6-12,Free,Virtual,Curriculum modules,None,Medium,Open access,None,FALSE,Any,None,Free,TRUE,TRUE,TRUE,High,TRUE,FALSE,High-speed-required,National,Optional,TRUE,Professional
Girls Who Code at Home,Virtual programming and activities designed for girls to continue learning coding and computer science concepts from home with family-friendly projects and challenges.,https://girlswhocode.com/programs/code-at-home,Girls Who Code,Coding Program,"Computer Science, Programming",K-12,Free,Virtual,Flexible schedule,None,Medium,Open participation,None,FALSE,Any,None,Free,TRUE,TRUE,TRUE,High,TRUE,FALSE,High-speed-required,National,Optional,TRUE,Professional
Girls Who Code Facilitator Program,"Training and support program for educators and volunteers to lead Girls Who Code clubs and activities, including curriculum resources and professional development.",https://girlswhocode.com/programs/facilitators,Girls Who Code,Tech Program,"Computer Science, Programming",6-12,Free,Hybrid,Training workshops,None,High,Workshop registration,None,FALSE,Any,None,Free,TRUE,TRUE,TRUE,High,FALSE,TRUE,Basic,Select-regions,Optional,TRUE,Professional
Virtual Summer Experience,"Online summer programming experience for girls who cannot attend in-person programs, featuring interactive coding lessons, virtual mentorship, and collaborative projects.",https://girlswhocode.com/programs/virtual-summer,Girls Who Code,Tech Program,"Computer Science, Programming",9-12,Free,Virtual,2-4 weeks (summer),None,High,Spring applications,None,FALSE,Any,Travel,Free,TRUE,TRUE,TRUE,High,TRUE,FALSE,High-speed-required,National,Optional,TRUE,Professional
Girls Who Code Community Impact Projects,"Capstone projects where girls use coding skills to address real community challenges, developing both technical abilities and social impact awareness through technology.",https://girlswhocode.com/programs/community-impact,Girls Who Code,Tech Program,"Computer Science, Programming",9-12,Free,Hybrid,Project-based (3-6 months),Medium,High,Project cycles,None,FALSE,Any,None,Free,TRUE,TRUE,TRUE,High,FALSE,TRUE,Basic,Select-regions,Optional,TRUE,Professional
