rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Learn JavaScript,Online Course,Web Development,Low,Online,9-12,0.821,https://www.codecademy.com/learn/introduction-to-javascript,Learn JavaScript fundamentals and start building interactive web applications. JavaScript is essential for modern web development and used across the tech industry. This Online Course focuses on Compu...
2,Coding Rooms - JavaScript for Beginners,Learning Platform,Web Development,Low,Online,7-12,0.819,https://www.codingrooms.com/curriculum,"Introduction to JavaScript programming and web development. Learn variables, functions, DOM manipulation, events, and interactive web pages. Build browser-based projects and games. This Learning Platf..."
3,BYJU'S Future School - Web Development (Ages 12-18),Online Course,Web Development,High,Online,7-12,0.816,https://www.byjusfutureschool.com/,"Full-stack web development teaching HTML, CSS, JavaScript, and modern frameworks. Build responsive websites, interactive applications, and portfolio projects. Industry-relevant skills with personalize..."
4,Web Development Basics,Online Course,Web Development,Low,Online,9-12,0.780,https://skillsbuild.org/students/course-catalog,"Learn web development fundamentals including HTML, CSS, and JavaScript basics. Create responsive web pages and understand web design principles. Hands-on projects guide students through building their..."
5,SkillsUSA Web Design,Other,Web Development,Low,Regional and national competition sites,9-12,0.732,https://www.skillsusa.org/competitions/skillsusa-championships/,"Website development competition testing HTML, CSS, JavaScript, and responsive design. Students create functional websites meeting client specifications. Covers user experience (UX), accessibility, and..."
6,STEMfinity Web Development Basics,Learning Platform,Web Development,Low,Online,7-12,0.719,https://www.stemfinity.com/STEM-Education,"Learn HTML, CSS, and JavaScript to build websites. Step-by-step tutorials for creating responsive web pages and interactive features. This Learning Platform focuses on Web Development, Computer Scienc..."
7,Kode With Klossy Virtual Web Development Camp,Camp,Web Development,Low,Virtual,7-12,0.696,https://www.kodewithklossy.com/programs,"Free 2-week virtual coding camp for girls ages 13-18 teaching HTML, CSS, and JavaScript. Build websites and web applications through project-based learning with experienced instructors. Daily live ins..."
8,Create Interactive Websites with JavaScript,Online Course,Web Development,Low,Online,11-12,0.690,https://www.codecademy.com/learn/build-interactive-websites,"Build interactive websites using JavaScript DOM manipulation. Learn to create dynamic web pages that respond to user interactions and events. This Online Course focuses on Computer Science, Web Develo..."
9,Introduction to HTML and CSS,Online Course,Web Development,Low,Online,9-12,0.686,https://www.udacity.com/course/intro-to-html-and-css--ud001,Learn to build and style web pages with HTML and CSS. Create responsive layouts and modern web designs. Hands-on projects building real websites. Perfect for beginners interested in web development. F...
10,"Web Development Scholarship - $6,000",Scholarship,Web Development,Low,Online,11-12,0.676,https://www.niche.com/colleges/scholarships/stem/,"Award for students with web development skills. Portfolio of websites or web applications required. This Scholarship focuses on Web Development, Computer Science, Programming and serves grade 10-12 st..."
11,Coding Rooms - HTML & CSS Web Fundamentals,Learning Platform,Web Development,Low,Online,6-12,0.666,https://www.codingrooms.com/curriculum,"Web development foundations with HTML and CSS. Create structured web pages, style with CSS, responsive design basics, and portfolio projects. Visual introduction to web technologies. This Learning Pla..."
12,Web Development High School Scholarship,Scholarship,Web Development,Low,Online,11-12,0.661,https://www.petersons.com/web-dev-hs,"$2,000 scholarship for web developers. For high school students with HTML, CSS, JavaScript, and web design skills. This Scholarship focuses on Web Development, Computer Science, Software Engineering a..."
13,Web Development High School Scholarship,Scholarship,Web Development,Low,Online,11-12,0.660,https://www.scholarships.com/web-dev-hs,"$1,500 scholarship for web developers. For high school students with HTML, CSS, JavaScript, and web design skills. This Scholarship focuses on Web Development, Computer Science, Software Engineering a..."
14,Learn HTML & CSS,Online Course,Web Development,Low,Online,8-12,0.659,https://www.codecademy.com/learn/learn-html,"Learn the fundamentals of web development with HTML and CSS. Create and style your own websites from scratch using the building blocks of the web. This Online Course focuses on Computer Science, Web D..."
15,Coding Rooms - Web Development with Flask,Learning Platform,Web Development,Low,Online,9-12,0.658,https://www.codingrooms.com/curriculum,"Build web applications using Python Flask framework. Learn routing, templates, forms, databases, user authentication, and deployment. Create full-stack web projects. This Learning Platform focuses on ..."
16,Learn React,Online Course,Web Development,Low,Online,11-12,0.652,https://www.codecademy.com/learn/react-101,"Learn React, a powerful JavaScript library for building user interfaces. Create dynamic and interactive web applications with component-based architecture. This Online Course focuses on Computer Scien..."
17,Web Development High School Scholarship,Scholarship,Web Development,Low,Online,11-12,0.647,https://www.chegg.com/scholarships/web-dev-hs,"$2,000 scholarship for web developers. For high school students with HTML, CSS, and JavaScript skills. This Scholarship focuses on Web Development, Computer Science, Software Engineering and serves gr..."
18,"Build a Website with HTML, CSS, and GitHub Pages",Online Course,Web Development,Low,Online,8-12,0.626,https://www.codecademy.com/learn/make-a-website,"Hands-on project course where students build and deploy a personal website using HTML, CSS, and GitHub Pages. Learn web development through practical application. This Online Course focuses on Compute..."
19,Kode With Klossy New York City In-Person Coding Camp,Camp,Web Development,Low,In-person residential or day camp,9-12,0.611,https://www.kodewithklossy.com/programs,Free 2-week intensive in-person coding camp in New York City for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from...
20,Kode With Klossy Los Angeles In-Person Coding Camp,Camp,Web Development,Low,In-person residential or day camp,9-12,0.611,https://www.kodewithklossy.com/programs,Free 2-week intensive in-person coding camp in Los Angeles for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from i...
