file,total_resources,total_issues,issue_rate,issue_breakdown
stanford_precollege_programs.csv,21,46,219.0%,"{'non_k12_resources': 20, 'total': 46, 'non_stem_resources': 8, 'invalid_values': 18}"
pioneer_academics.csv,21,45,214.3%,"{'non_k12_resources': 21, 'total': 45, 'non_stem_resources': 3, 'invalid_values': 21}"
sphero_education.csv,29,43,148.3%,"{'non_k12_resources': 5, 'total': 43, 'educator_resources': 1, 'non_stem_resources': 1, 'invalid_values': 28, 'logical_inconsistencies': 8}"
osmo_learning.csv,25,41,164.0%,"{'non_k12_resources': 2, 'total': 41, 'educator_resources': 1, 'non_stem_resources': 13, 'invalid_values': 25}"
wonder_workshop.csv,18,40,222.2%,"{'non_k12_resources': 3, 'total': 40, 'educator_resources': 1, 'non_stem_resources': 1, 'invalid_values': 18, 'logical_inconsistencies': 17}"
cmu_precollege_programs.csv,18,38,211.1%,"{'non_k12_resources': 9, 'total': 38, 'non_stem_resources': 9, 'invalid_values': 18, 'suspicious_data': 2}"
mystery_science.csv,31,38,122.6%,"{'non_k12_resources': 1, 'total': 38, 'non_stem_resources': 1, 'invalid_values': 31, 'suspicious_data': 5}"
amplify_science.csv,33,38,115.2%,"{'invalid_values': 33, 'total': 38, 'suspicious_data': 5}"
ixl_learning.csv,31,37,119.4%,"{'non_k12_resources': 1, 'total': 37, 'non_stem_resources': 5, 'invalid_values': 31}"
math_competitions.csv,33,37,112.1%,"{'invalid_values': 30, 'total': 37, 'suspicious_data': 7}"
pbs_kids_stem.csv,29,36,124.1%,"{'non_k12_resources': 2, 'total': 36, 'non_stem_resources': 3, 'invalid_values': 29, 'suspicious_data': 2}"
tinkercad.csv,25,36,144.0%,"{'non_k12_resources': 1, 'total': 36, 'educator_resources': 1, 'non_stem_resources': 9, 'invalid_values': 25}"
outschool_stem.csv,36,36,100.0%,"{'invalid_values': 36, 'total': 36}"
stemfinity.csv,35,34,97.1%,"{'non_k12_resources': 1, 'total': 34, 'non_stem_resources': 1, 'invalid_values': 32}"
aops.csv,35,32,91.4%,"{'non_k12_resources': 2, 'total': 32, 'invalid_values': 30}"
tynker.csv,26,29,111.5%,"{'non_k12_resources': 3, 'total': 29, 'educator_resources': 1, 'non_stem_resources': 3, 'invalid_values': 22}"
hopscotch_coding.csv,20,28,140.0%,"{'non_k12_resources': 2, 'total': 28, 'educator_resources': 1, 'non_stem_resources': 5, 'invalid_values': 20}"
university_splash_programs.csv,12,26,216.7%,"{'non_k12_resources': 7, 'total': 26, 'non_stem_resources': 7, 'invalid_values': 12}"
cmu_robotics_academy.csv,21,25,119.0%,"{'non_k12_resources': 3, 'total': 25, 'educator_resources': 1, 'non_stem_resources': 1, 'invalid_values': 17, 'logical_inconsistencies': 3}"
coding_rooms.csv,21,25,119.0%,"{'non_k12_resources': 2, 'total': 25, 'educator_resources': 1, 'non_stem_resources': 1, 'invalid_values': 21}"
roblox_education.csv,17,25,147.1%,"{'non_k12_resources': 1, 'total': 25, 'educator_resources': 1, 'non_stem_resources': 6, 'invalid_values': 17}"
explorelearning_gizmos.csv,25,25,100.0%,"{'invalid_values': 25, 'total': 25}"
ai4all_programs.csv,12,22,183.3%,"{'non_k12_resources': 8, 'total': 22, 'non_stem_resources': 3, 'invalid_values': 11}"
typingclub.csv,19,21,110.5%,"{'non_k12_resources': 1, 'total': 21, 'non_stem_resources': 1, 'invalid_values': 19}"
skillsusa_stem_competitions.csv,20,21,105.0%,"{'non_stem_resources': 1, 'total': 21, 'invalid_values': 20}"
khan_academy_programs.csv,20,21,105.0%,"{'invalid_values': 20, 'total': 21, 'suspicious_data': 1}"
edx_highschool_programs.csv,18,20,111.1%,"{'non_k12_resources': 1, 'total': 20, 'non_stem_resources': 1, 'invalid_values': 18}"
scratch_programming.csv,12,20,166.7%,"{'non_k12_resources': 3, 'total': 20, 'educator_resources': 1, 'non_stem_resources': 6, 'invalid_values': 10}"
byjus_future_school.csv,15,20,133.3%,"{'non_k12_resources': 3, 'total': 20, 'non_stem_resources': 2, 'invalid_values': 15}"
polygence_research.csv,13,20,153.8%,"{'non_k12_resources': 6, 'total': 20, 'non_stem_resources': 1, 'invalid_values': 13}"
splashlearn.csv,15,20,133.3%,"{'non_stem_resources': 5, 'total': 20, 'invalid_values': 15}"
brilliant_org_programs.csv,20,20,100.0%,"{'invalid_values': 20, 'total': 20}"
pltw_programs.csv,20,20,100.0%,"{'invalid_values': 20, 'total': 20}"
pltw_progress.csv,20,20,100.0%,"{'invalid_values': 20, 'total': 20}"
discovere_programs.csv,15,19,126.7%,"{'non_k12_resources': 6, 'total': 19, 'educator_resources': 1, 'invalid_values': 12}"
pathways_to_science.csv,31,19,61.3%,"{'non_k12_resources': 5, 'total': 19, 'invalid_values': 14}"
university_stem_mentorship.csv,10,19,190.0%,"{'non_k12_resources': 9, 'total': 19, 'invalid_values': 10}"
coolmath_games.csv,17,18,105.9%,"{'non_k12_resources': 1, 'total': 18, 'invalid_values': 17}"
coursera_highschool_programs.csv,18,18,100.0%,"{'invalid_values': 18, 'total': 18}"
ibm_skillsbuild_programs.csv,16,17,106.2%,"{'non_k12_resources': 1, 'total': 17, 'non_stem_resources': 4, 'invalid_values': 11, 'suspicious_data': 1}"
ncssm_online_progress.csv,5,17,340.0%,"{'non_k12_resources': 2, 'total': 17, 'non_stem_resources': 5, 'missing_critical_data': 5, 'invalid_values': 5}"
destination_imagination_programs.csv,12,16,133.3%,"{'non_k12_resources': 2, 'total': 16, 'non_stem_resources': 1, 'invalid_values': 11, 'suspicious_data': 2}"
microsoft_teals_programs.csv,10,16,160.0%,"{'non_k12_resources': 6, 'total': 16, 'educator_resources': 1, 'invalid_values': 9}"
rise_research.csv,20,16,80.0%,"{'non_k12_resources': 15, 'total': 16, 'non_stem_resources': 1}"
science_research_mentorship.csv,25,16,64.0%,"{'non_k12_resources': 14, 'total': 16, 'non_stem_resources': 2}"
cty_programs_combined.csv,14,15,107.1%,"{'non_k12_resources': 2, 'total': 15, 'non_stem_resources': 4, 'invalid_values': 9}"
garcia_scholars.csv,9,15,166.7%,"{'non_k12_resources': 5, 'total': 15, 'invalid_values': 9, 'suspicious_data': 1}"
udacity_highschool_programs.csv,15,15,100.0%,"{'invalid_values': 15, 'total': 15}"
science_buddies_combined.csv,13,15,115.4%,"{'invalid_values': 13, 'total': 15, 'suspicious_data': 2}"
acs_programs.csv,21,14,66.7%,"{'non_k12_resources': 5, 'total': 14, 'educator_resources': 1, 'invalid_values': 4, 'suspicious_data': 4}"
